SeqID	sham_A1	sham_A2	sham_A3	day1_B2	day1_B3	day6_C1	day6_C2	day6_C3	day28_D1	day28_D2	day28_D3
AABR07000725.1|ENSRNOT00000090824	4.440	0.798	3.517	0.773	1.113	1.443	1.378	1.298	0.851	2.588	2.517
AABR07000733.1|ENSRNOT00000077927	45.752	33.186	29.378	46.504	16.483	7.956	20.077	2.132	1.323	31.413	12.017
AABR07000738.1|ENSRNOT00000049208	0.000	4.504	3.179	2.710	0.710	0.000	1.153	0.000	0.000	0.000	0.000
AABR07000740.1|ENSRNOT00000043416	2.093	0.000	0.000	0.000	1.052	1.823	0.000	5.133	0.000	0.000	0.969
AABR07000902.1|ENSRNOT00000087830	81.978	80.832	73.322	54.961	81.687	57.666	29.863	71.470	34.034	17.827	84.038
AABR07000978.1|ENSRNOT00000083664	4.026	10.817	16.888	3.615	5.712	0.000	0.000	0.000	3.089	0.000	3.806
AABR07000986.1|ENSRNOT00000089420	4.210	4.040	4.187	4.373	2.794	3.616	2.011	2.158	2.325	1.972	2.837
AABR07000989.1|ENSRNOT00000092105	15.455	7.263	9.387	18.747	17.785	12.598	9.139	15.826	14.169	13.423	9.823
AABR07001025.1|ENSRNOT00000091983	5.298	6.023	6.248	4.918	2.107	1.670	1.635	1.270	2.420	2.364	1.672
AABR07001037.1|ENSRNOT00000073945	3.782	4.104	5.924	3.192	2.854	2.726	2.008	2.599	2.256	1.892	2.447
AABR07001048.1|ENSRNOT00000073791	28.314	28.419	29.797	27.088	22.604	19.959	12.817	16.902	16.882	11.869	17.848
AABR07001057.1|ENSRNOT00000069000	3.570	5.075	3.804	1.591	1.303	3.191	3.598	6.570	1.329	10.530	1.686
AABR07001061.1|ENSRNOT00000089512	1.820	2.308	4.520	0.795	1.257	1.485	0.606	0.799	3.462	1.496	2.971
AABR07001068.1|ENSRNOT00000081636	15.178	24.595	23.551	31.794	17.623	10.907	9.797	12.916	15.421	11.242	15.993
